Systematic Name,Standard Name,complex,term_link,gene_link
YGR134W,CAF130,CCR4-NOT complex,<a href='https://www.yeastgenome.org/go/GO:0030014' target='_blank'>CCR4-NOT complex</a>,<a href='https://www.yeastgenome.org/locus/YGR134W/go' target='_blank'>YGR134W</a>
YGR134W,CAF130,CCR4-NOT core complex,<a href='https://www.yeastgenome.org/go/GO:0030015' target='_blank'>CCR4-NOT core complex</a>,<a href='https://www.yeastgenome.org/locus/YGR134W/go' target='_blank'>YGR134W</a>
YIL075C,RPN2,proteasome complex,<a href='https://www.yeastgenome.org/go/GO:0000502' target='_blank'>proteasome complex</a>,<a href='https://www.yeastgenome.org/locus/YIL075C/go' target='_blank'>YIL075C</a>
YIL075C,RPN2,"proteasome regulatory particle, base subcomplex","<a href='https://www.yeastgenome.org/go/GO:0008540' target='_blank'>proteasome regulatory particle, base subcomplex</a>",<a href='https://www.yeastgenome.org/locus/YIL075C/go' target='_blank'>YIL075C</a>
YIL075C,RPN2,proteasome regulatory particle,<a href='https://www.yeastgenome.org/go/GO:0005838' target='_blank'>proteasome regulatory particle</a>,<a href='https://www.yeastgenome.org/locus/YIL075C/go' target='_blank'>YIL075C</a>
YIL075C,RPN2,proteasome storage granule,<a href='https://www.yeastgenome.org/go/GO:0034515' target='_blank'>proteasome storage granule</a>,<a href='https://www.yeastgenome.org/locus/YIL075C/go' target='_blank'>YIL075C</a>
RDN5-5,,cytosolic large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022625' target='_blank'>cytosolic large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/RDN5-5/go' target='_blank'>RDN5-5</a>
RDN5-5,,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/RDN5-5/go' target='_blank'>RDN5-5</a>
RDN5-5,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/RDN5-5/go' target='_blank'>RDN5-5</a>
RDN5-5,,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/RDN5-5/go' target='_blank'>RDN5-5</a>
RDN5-5,,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/RDN5-5/go' target='_blank'>RDN5-5</a>
Q0285,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/Q0285/go' target='_blank'>Q0285</a>
Q0285,,mitochondrial ribonuclease P complex,<a href='https://www.yeastgenome.org/go/GO:0030678' target='_blank'>mitochondrial ribonuclease P complex</a>,<a href='https://www.yeastgenome.org/locus/Q0285/go' target='_blank'>Q0285</a>
Q0285,,ribonuclease P complex,<a href='https://www.yeastgenome.org/go/GO:0030677' target='_blank'>ribonuclease P complex</a>,<a href='https://www.yeastgenome.org/locus/Q0285/go' target='_blank'>Q0285</a>
YDL188C,PPH22,"chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000775' target='_blank'>chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YDL188C/go' target='_blank'>YDL188C</a>
YDL188C,PPH22,"condensed nuclear chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000780' target='_blank'>condensed nuclear chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YDL188C/go' target='_blank'>YDL188C</a>
YGR013W,SNU71,U1 snRNP,<a href='https://www.yeastgenome.org/go/GO:0005685' target='_blank'>U1 snRNP</a>,<a href='https://www.yeastgenome.org/locus/YGR013W/go' target='_blank'>YGR013W</a>
YGR013W,SNU71,U2-type prespliceosome,<a href='https://www.yeastgenome.org/go/GO:0071004' target='_blank'>U2-type prespliceosome</a>,<a href='https://www.yeastgenome.org/locus/YGR013W/go' target='_blank'>YGR013W</a>
YGR013W,SNU71,U2-type spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005684' target='_blank'>U2-type spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YGR013W/go' target='_blank'>YGR013W</a>
YGR013W,SNU71,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGR013W/go' target='_blank'>YGR013W</a>
YGR013W,SNU71,small nuclear ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030532' target='_blank'>small nuclear ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGR013W/go' target='_blank'>YGR013W</a>
YGR013W,SNU71,spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005681' target='_blank'>spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YGR013W/go' target='_blank'>YGR013W</a>
YLR396C,VPS33,CORVET complex,<a href='https://www.yeastgenome.org/go/GO:0033263' target='_blank'>CORVET complex</a>,<a href='https://www.yeastgenome.org/locus/YLR396C/go' target='_blank'>YLR396C</a>
YLR396C,VPS33,HOPS complex,<a href='https://www.yeastgenome.org/go/GO:0030897' target='_blank'>HOPS complex</a>,<a href='https://www.yeastgenome.org/locus/YLR396C/go' target='_blank'>YLR396C</a>
YAL035W,FUN12,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,cytosolic small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022627' target='_blank'>cytosolic small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,eukaryotic 48S preinitiation complex,<a href='https://www.yeastgenome.org/go/GO:0033290' target='_blank'>eukaryotic 48S preinitiation complex</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,"preribosome, large subunit precursor","<a href='https://www.yeastgenome.org/go/GO:0030687' target='_blank'>preribosome, large subunit precursor</a>",<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YAL035W,FUN12,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YAL035W/go' target='_blank'>YAL035W</a>
YIL021W,RPB3,"DNA-directed RNA polymerase II, core complex","<a href='https://www.yeastgenome.org/go/GO:0005665' target='_blank'>DNA-directed RNA polymerase II, core complex</a>",<a href='https://www.yeastgenome.org/locus/YIL021W/go' target='_blank'>YIL021W</a>
YIL021W,RPB3,"DNA-directed RNA polymerase II, holoenzyme","<a href='https://www.yeastgenome.org/go/GO:0016591' target='_blank'>DNA-directed RNA polymerase II, holoenzyme</a>",<a href='https://www.yeastgenome.org/locus/YIL021W/go' target='_blank'>YIL021W</a>
YLR268W,SEC22,SNARE complex,<a href='https://www.yeastgenome.org/go/GO:0031201' target='_blank'>SNARE complex</a>,<a href='https://www.yeastgenome.org/locus/YLR268W/go' target='_blank'>YLR268W</a>
YPR018W,RLF2,CAF-1 complex,<a href='https://www.yeastgenome.org/go/GO:0033186' target='_blank'>CAF-1 complex</a>,<a href='https://www.yeastgenome.org/locus/YPR018W/go' target='_blank'>YPR018W</a>
YPR018W,RLF2,"chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000775' target='_blank'>chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YPR018W/go' target='_blank'>YPR018W</a>
YER021W,RPN3,proteasome complex,<a href='https://www.yeastgenome.org/go/GO:0000502' target='_blank'>proteasome complex</a>,<a href='https://www.yeastgenome.org/locus/YER021W/go' target='_blank'>YER021W</a>
YER021W,RPN3,"proteasome regulatory particle, lid subcomplex","<a href='https://www.yeastgenome.org/go/GO:0008541' target='_blank'>proteasome regulatory particle, lid subcomplex</a>",<a href='https://www.yeastgenome.org/locus/YER021W/go' target='_blank'>YER021W</a>
YER021W,RPN3,proteasome regulatory particle,<a href='https://www.yeastgenome.org/go/GO:0005838' target='_blank'>proteasome regulatory particle</a>,<a href='https://www.yeastgenome.org/locus/YER021W/go' target='_blank'>YER021W</a>
YOL061W,PRS5,ribose phosphate diphosphokinase complex,<a href='https://www.yeastgenome.org/go/GO:0002189' target='_blank'>ribose phosphate diphosphokinase complex</a>,<a href='https://www.yeastgenome.org/locus/YOL061W/go' target='_blank'>YOL061W</a>
YJR137C,MET5,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YJR137C/go' target='_blank'>YJR137C</a>
YJR137C,MET5,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YJR137C/go' target='_blank'>YJR137C</a>
YJR137C,MET5,sulfite reductase complex (NADPH),<a href='https://www.yeastgenome.org/go/GO:0009337' target='_blank'>sulfite reductase complex (NADPH)</a>,<a href='https://www.yeastgenome.org/locus/YJR137C/go' target='_blank'>YJR137C</a>
YOL090W,MSH2,MutSalpha complex,<a href='https://www.yeastgenome.org/go/GO:0032301' target='_blank'>MutSalpha complex</a>,<a href='https://www.yeastgenome.org/locus/YOL090W/go' target='_blank'>YOL090W</a>
YOL090W,MSH2,MutSbeta complex,<a href='https://www.yeastgenome.org/go/GO:0032302' target='_blank'>MutSbeta complex</a>,<a href='https://www.yeastgenome.org/locus/YOL090W/go' target='_blank'>YOL090W</a>
YHR026W,VMA16,vacuolar proton-transporting V-type ATPase complex,<a href='https://www.yeastgenome.org/go/GO:0016471' target='_blank'>vacuolar proton-transporting V-type ATPase complex</a>,<a href='https://www.yeastgenome.org/locus/YHR026W/go' target='_blank'>YHR026W</a>
YHR026W,VMA16,"vacuolar proton-transporting V-type ATPase, V0 domain","<a href='https://www.yeastgenome.org/go/GO:0000220' target='_blank'>vacuolar proton-transporting V-type ATPase, V0 domain</a>",<a href='https://www.yeastgenome.org/locus/YHR026W/go' target='_blank'>YHR026W</a>
snR52,,box C/D snoRNP complex,<a href='https://www.yeastgenome.org/go/GO:0031428' target='_blank'>box C/D snoRNP complex</a>,<a href='https://www.yeastgenome.org/locus/snR52/go' target='_blank'>snR52</a>
snR52,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR52/go' target='_blank'>snR52</a>
snR52,,small nucleolar ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0005732' target='_blank'>small nucleolar ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR52/go' target='_blank'>snR52</a>
YDR202C,RAV2,RAVE complex,<a href='https://www.yeastgenome.org/go/GO:0043291' target='_blank'>RAVE complex</a>,<a href='https://www.yeastgenome.org/locus/YDR202C/go' target='_blank'>YDR202C</a>
YDR484W,VPS52,GARP complex,<a href='https://www.yeastgenome.org/go/GO:0000938' target='_blank'>GARP complex</a>,<a href='https://www.yeastgenome.org/locus/YDR484W/go' target='_blank'>YDR484W</a>
YHR013C,ARD1,NatA complex,<a href='https://www.yeastgenome.org/go/GO:0031415' target='_blank'>NatA complex</a>,<a href='https://www.yeastgenome.org/locus/YHR013C/go' target='_blank'>YHR013C</a>
YHR013C,ARD1,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YHR013C/go' target='_blank'>YHR013C</a>
YHR013C,ARD1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YHR013C/go' target='_blank'>YHR013C</a>
YHR013C,ARD1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YHR013C/go' target='_blank'>YHR013C</a>
YDR339C,FCF1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR339C/go' target='_blank'>YDR339C</a>
YDR339C,FCF1,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR339C/go' target='_blank'>YDR339C</a>
YDR339C,FCF1,small-subunit processome,<a href='https://www.yeastgenome.org/go/GO:0032040' target='_blank'>small-subunit processome</a>,<a href='https://www.yeastgenome.org/locus/YDR339C/go' target='_blank'>YDR339C</a>
YIL150C,MCM10,replication fork protection complex,<a href='https://www.yeastgenome.org/go/GO:0031298' target='_blank'>replication fork protection complex</a>,<a href='https://www.yeastgenome.org/locus/YIL150C/go' target='_blank'>YIL150C</a>
YGR155W,CYS4,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YGR155W/go' target='_blank'>YGR155W</a>
YGR155W,CYS4,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGR155W/go' target='_blank'>YGR155W</a>
YLL024C,SSA2,chaperonin-containing T-complex,<a href='https://www.yeastgenome.org/go/GO:0005832' target='_blank'>chaperonin-containing T-complex</a>,<a href='https://www.yeastgenome.org/locus/YLL024C/go' target='_blank'>YLL024C</a>
YLL024C,SSA2,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YLL024C/go' target='_blank'>YLL024C</a>
YLL024C,SSA2,polysome,<a href='https://www.yeastgenome.org/go/GO:0005844' target='_blank'>polysome</a>,<a href='https://www.yeastgenome.org/locus/YLL024C/go' target='_blank'>YLL024C</a>
YOR045W,TOM6,mitochondrial outer membrane translocase complex,<a href='https://www.yeastgenome.org/go/GO:0005742' target='_blank'>mitochondrial outer membrane translocase complex</a>,<a href='https://www.yeastgenome.org/locus/YOR045W/go' target='_blank'>YOR045W</a>
YBL045C,COR1,mitochondrial respiratory chain complex III,<a href='https://www.yeastgenome.org/go/GO:0005750' target='_blank'>mitochondrial respiratory chain complex III</a>,<a href='https://www.yeastgenome.org/locus/YBL045C/go' target='_blank'>YBL045C</a>
YDR356W,SPC110,central plaque of spindle pole body,<a href='https://www.yeastgenome.org/go/GO:0005823' target='_blank'>central plaque of spindle pole body</a>,<a href='https://www.yeastgenome.org/locus/YDR356W/go' target='_blank'>YDR356W</a>
YDR356W,SPC110,inner plaque of spindle pole body,<a href='https://www.yeastgenome.org/go/GO:0005822' target='_blank'>inner plaque of spindle pole body</a>,<a href='https://www.yeastgenome.org/locus/YDR356W/go' target='_blank'>YDR356W</a>
YDR356W,SPC110,spindle pole body,<a href='https://www.yeastgenome.org/go/GO:0005816' target='_blank'>spindle pole body</a>,<a href='https://www.yeastgenome.org/locus/YDR356W/go' target='_blank'>YDR356W</a>
YDR443C,SSN2,mediator complex,<a href='https://www.yeastgenome.org/go/GO:0016592' target='_blank'>mediator complex</a>,<a href='https://www.yeastgenome.org/locus/YDR443C/go' target='_blank'>YDR443C</a>
YDR078C,SHU2,Shu complex,<a href='https://www.yeastgenome.org/go/GO:0097196' target='_blank'>Shu complex</a>,<a href='https://www.yeastgenome.org/locus/YDR078C/go' target='_blank'>YDR078C</a>
YER149C,PEA2,polarisome,<a href='https://www.yeastgenome.org/go/GO:0000133' target='_blank'>polarisome</a>,<a href='https://www.yeastgenome.org/locus/YER149C/go' target='_blank'>YER149C</a>
YLR244C,MAP1,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YLR244C/go' target='_blank'>YLR244C</a>
YLR244C,MAP1,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR244C/go' target='_blank'>YLR244C</a>
YLR244C,MAP1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YLR244C/go' target='_blank'>YLR244C</a>
YLR244C,MAP1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR244C/go' target='_blank'>YLR244C</a>
YPL184C,MRN1,P-body,<a href='https://www.yeastgenome.org/go/GO:0000932' target='_blank'>P-body</a>,<a href='https://www.yeastgenome.org/locus/YPL184C/go' target='_blank'>YPL184C</a>
YPL184C,MRN1,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YPL184C/go' target='_blank'>YPL184C</a>
YPL184C,MRN1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPL184C/go' target='_blank'>YPL184C</a>
YMR287C,DSS1,cytoplasmic exosome (RNase complex),<a href='https://www.yeastgenome.org/go/GO:0000177' target='_blank'>cytoplasmic exosome (RNase complex)</a>,<a href='https://www.yeastgenome.org/locus/YMR287C/go' target='_blank'>YMR287C</a>
YMR287C,DSS1,exosome (RNase complex),<a href='https://www.yeastgenome.org/go/GO:0000178' target='_blank'>exosome (RNase complex)</a>,<a href='https://www.yeastgenome.org/locus/YMR287C/go' target='_blank'>YMR287C</a>
YMR287C,DSS1,mitochondrial degradosome,<a href='https://www.yeastgenome.org/go/GO:0045025' target='_blank'>mitochondrial degradosome</a>,<a href='https://www.yeastgenome.org/locus/YMR287C/go' target='_blank'>YMR287C</a>
YPL132W,COX11,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPL132W/go' target='_blank'>YPL132W</a>
YPL132W,COX11,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPL132W/go' target='_blank'>YPL132W</a>
YPL132W,COX11,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPL132W/go' target='_blank'>YPL132W</a>
YLR167W,RPS31,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR167W/go' target='_blank'>YLR167W</a>
YLR167W,RPS31,cytosolic small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022627' target='_blank'>cytosolic small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YLR167W/go' target='_blank'>YLR167W</a>
YLR167W,RPS31,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YLR167W/go' target='_blank'>YLR167W</a>
YLR167W,RPS31,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR167W/go' target='_blank'>YLR167W</a>
YLR167W,RPS31,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YLR167W/go' target='_blank'>YLR167W</a>
YDR265W,PEX10,Pex17p-Pex14p docking complex,<a href='https://www.yeastgenome.org/go/GO:1990415' target='_blank'>Pex17p-Pex14p docking complex</a>,<a href='https://www.yeastgenome.org/locus/YDR265W/go' target='_blank'>YDR265W</a>
YDR265W,PEX10,peroxisomal importomer complex,<a href='https://www.yeastgenome.org/go/GO:1990429' target='_blank'>peroxisomal importomer complex</a>,<a href='https://www.yeastgenome.org/locus/YDR265W/go' target='_blank'>YDR265W</a>
YPL079W,RPL21B,cytosolic large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022625' target='_blank'>cytosolic large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YPL079W/go' target='_blank'>YPL079W</a>
YPL079W,RPL21B,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPL079W/go' target='_blank'>YPL079W</a>
YPL079W,RPL21B,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPL079W/go' target='_blank'>YPL079W</a>
YPL079W,RPL21B,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YPL079W/go' target='_blank'>YPL079W</a>
YPL079W,RPL21B,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPL079W/go' target='_blank'>YPL079W</a>
YDR333C,RQC1,RQC complex,<a href='https://www.yeastgenome.org/go/GO:1990112' target='_blank'>RQC complex</a>,<a href='https://www.yeastgenome.org/locus/YDR333C/go' target='_blank'>YDR333C</a>
YDR333C,RQC1,cytosolic large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022625' target='_blank'>cytosolic large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR333C/go' target='_blank'>YDR333C</a>
YDR333C,RQC1,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR333C/go' target='_blank'>YDR333C</a>
YDR333C,RQC1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR333C/go' target='_blank'>YDR333C</a>
YDR333C,RQC1,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR333C/go' target='_blank'>YDR333C</a>
YDR333C,RQC1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR333C/go' target='_blank'>YDR333C</a>
YGL173C,XRN1,P-body,<a href='https://www.yeastgenome.org/go/GO:0000932' target='_blank'>P-body</a>,<a href='https://www.yeastgenome.org/locus/YGL173C/go' target='_blank'>YGL173C</a>
YGL173C,XRN1,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YGL173C/go' target='_blank'>YGL173C</a>
YGL173C,XRN1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGL173C/go' target='_blank'>YGL173C</a>
YLR085C,ARP6,Swr1 complex,<a href='https://www.yeastgenome.org/go/GO:0000812' target='_blank'>Swr1 complex</a>,<a href='https://www.yeastgenome.org/locus/YLR085C/go' target='_blank'>YLR085C</a>
YLR085C,ARP6,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YLR085C/go' target='_blank'>YLR085C</a>
YLR085C,ARP6,nuclear chromatin,<a href='https://www.yeastgenome.org/go/GO:0000790' target='_blank'>nuclear chromatin</a>,<a href='https://www.yeastgenome.org/locus/YLR085C/go' target='_blank'>YLR085C</a>
YOL083W,ATG34,CVT complex,<a href='https://www.yeastgenome.org/go/GO:0034270' target='_blank'>CVT complex</a>,<a href='https://www.yeastgenome.org/locus/YOL083W/go' target='_blank'>YOL083W</a>
YBL028C,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YBL028C/go' target='_blank'>YBL028C</a>
YBL028C,,"preribosome, large subunit precursor","<a href='https://www.yeastgenome.org/go/GO:0030687' target='_blank'>preribosome, large subunit precursor</a>",<a href='https://www.yeastgenome.org/locus/YBL028C/go' target='_blank'>YBL028C</a>
YBL028C,,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YBL028C/go' target='_blank'>YBL028C</a>
YBL028C,,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YBL028C/go' target='_blank'>YBL028C</a>
YCL057C-A,MIC10,MICOS complex,<a href='https://www.yeastgenome.org/go/GO:0061617' target='_blank'>MICOS complex</a>,<a href='https://www.yeastgenome.org/locus/YCL057C-A/go' target='_blank'>YCL057C-A</a>
YDR472W,TRS31,TRAPP complex,<a href='https://www.yeastgenome.org/go/GO:0030008' target='_blank'>TRAPP complex</a>,<a href='https://www.yeastgenome.org/locus/YDR472W/go' target='_blank'>YDR472W</a>
YDR472W,TRS31,TRAPPI protein complex,<a href='https://www.yeastgenome.org/go/GO:1990070' target='_blank'>TRAPPI protein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR472W/go' target='_blank'>YDR472W</a>
YDR472W,TRS31,TRAPPII protein complex,<a href='https://www.yeastgenome.org/go/GO:1990071' target='_blank'>TRAPPII protein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR472W/go' target='_blank'>YDR472W</a>
YDR472W,TRS31,TRAPPIII protein complex,<a href='https://www.yeastgenome.org/go/GO:1990072' target='_blank'>TRAPPIII protein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR472W/go' target='_blank'>YDR472W</a>
YER148W,SPT15,"DNA-directed RNA polymerase II, holoenzyme","<a href='https://www.yeastgenome.org/go/GO:0016591' target='_blank'>DNA-directed RNA polymerase II, holoenzyme</a>",<a href='https://www.yeastgenome.org/locus/YER148W/go' target='_blank'>YER148W</a>
