Systematic Name,Standard Name,pathway,Reference,term_link,gene_link
YOL059W,GPD2,glycerol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12200299' target='_blank'>12200299</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11058591' target='_blank'>11058591</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8662716' target='_blank'>8662716</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/10705374' target='_blank'>10705374</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8979347' target='_blank'>8979347</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/14618562' target='_blank'>14618562</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-48"" target=""_blank"">glycerol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YOL059W' target='_blank'>YOL059W</a>
YHL032C,GUT1,glycerol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/191434' target='_blank'>191434</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=AERO-GLYCEROL-CAT-PWY"" target=""_blank"">glycerol degradation</a>",<a href='https://www.yeastgenome.org/locus/YHL032C' target='_blank'>YHL032C</a>
YIL155C,GUT2,glycerol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/191434' target='_blank'>191434</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=AERO-GLYCEROL-CAT-PWY"" target=""_blank"">glycerol degradation</a>",<a href='https://www.yeastgenome.org/locus/YIL155C' target='_blank'>YIL155C</a>
YFL030W,AGX1,glycine biosynthesis from glyoxylate,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/14745783' target='_blank'>14745783</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000075415' target='_blank'>S000075415</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href="""" target=""_blank"">glycine biosynthesis from glyoxylate</a>",<a href='https://www.yeastgenome.org/locus/YFL030W' target='_blank'>YFL030W</a>
YBR263W,SHM1,glycine biosynthesis from serine,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/7498764' target='_blank'>7498764</a>,"<a href="""" target=""_blank"">glycine biosynthesis from serine</a>",<a href='https://www.yeastgenome.org/locus/YBR263W' target='_blank'>YBR263W</a>
YLR058C,SHM2,glycine biosynthesis from serine,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/7498764' target='_blank'>7498764</a>,"<a href="""" target=""_blank"">glycine biosynthesis from serine</a>",<a href='https://www.yeastgenome.org/locus/YLR058C' target='_blank'>YLR058C</a>
YEL046C,GLY1,glycine biosynthesis from threonine,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/9163906' target='_blank'>9163906</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000053396' target='_blank'>S000053396</a>,"<a href="""" target=""_blank"">glycine biosynthesis from threonine</a>",<a href='https://www.yeastgenome.org/locus/YEL046C' target='_blank'>YEL046C</a>
YFL018C,LPD1,glycine cleavage complex, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCLEAV-PWY"" target=""_blank"">glycine cleavage complex</a>",<a href='https://www.yeastgenome.org/locus/YFL018C' target='_blank'>YFL018C</a>
YDR019C,GCV1,glycine cleavage complex, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCLEAV-PWY"" target=""_blank"">glycine cleavage complex</a>",<a href='https://www.yeastgenome.org/locus/YDR019C' target='_blank'>YDR019C</a>
YMR189W,GCV2,glycine cleavage complex, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCLEAV-PWY"" target=""_blank"">glycine cleavage complex</a>",<a href='https://www.yeastgenome.org/locus/YMR189W' target='_blank'>YMR189W</a>
YKR058W,GLG1,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YKR058W' target='_blank'>YKR058W</a>
YJL137C,GLG2,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJL137C' target='_blank'>YJL137C</a>
YEL011W,GLC3,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YEL011W' target='_blank'>YEL011W</a>
YFR015C,GSY1,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YFR015C' target='_blank'>YFR015C</a>
YLR258W,GSY2,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YLR258W' target='_blank'>YLR258W</a>
YKR058W,GLG1,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YKR058W' target='_blank'>YKR058W</a>
YJL137C,GLG2,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJL137C' target='_blank'>YJL137C</a>
YKL127W,PGM1,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YKL127W' target='_blank'>YKL127W</a>
YMR105C,PGM2,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YMR105C' target='_blank'>YMR105C</a>
YKL035W,UGP1,glycogen biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4031"" target=""_blank"">glycogen biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YKL035W' target='_blank'>YKL035W</a>
YPR160W,GPH1,glycogen catabolism,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=GLYCOCAT-YEAST-PWY&redirect=T"" target=""_blank"">glycogen catabolism</a>",<a href='https://www.yeastgenome.org/locus/YPR160W' target='_blank'>YPR160W</a>
YPR184W,GDB1,glycogen catabolism,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=GLYCOCAT-YEAST-PWY&redirect=T"" target=""_blank"">glycogen catabolism</a>",<a href='https://www.yeastgenome.org/locus/YPR184W' target='_blank'>YPR184W</a>
YPR184W,GDB1,glycogen catabolism,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=GLYCOCAT-YEAST-PWY&redirect=T"" target=""_blank"">glycogen catabolism</a>",<a href='https://www.yeastgenome.org/locus/YPR184W' target='_blank'>YPR184W</a>
YIL099W,SGA1,glycogen catabolism,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11152943' target='_blank'>11152943</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000059437' target='_blank'>S000059437</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=GLYCOCAT-YEAST-PWY&redirect=T"" target=""_blank"">glycogen catabolism</a>",<a href='https://www.yeastgenome.org/locus/YIL099W' target='_blank'>YIL099W</a>
YGR240C,PFK1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YGR240C' target='_blank'>YGR240C</a>
YMR205C,PFK2,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YMR205C' target='_blank'>YMR205C</a>
YKL060C,FBA1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YKL060C' target='_blank'>YKL060C</a>
YBR196C,PGI1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YBR196C' target='_blank'>YBR196C</a>
YJL052W,TDH1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YJL052W' target='_blank'>YJL052W</a>
YJR009C,TDH2,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YJR009C' target='_blank'>YJR009C</a>
YGR192C,TDH3,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YGR192C' target='_blank'>YGR192C</a>
YCR012W,PGK1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YCR012W' target='_blank'>YCR012W</a>
YKL152C,GPM1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YKL152C' target='_blank'>YKL152C</a>
YGR254W,ENO1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YGR254W' target='_blank'>YGR254W</a>
YHR174W,ENO2,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YHR174W' target='_blank'>YHR174W</a>
YAL038W,CDC19,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YAL038W' target='_blank'>YAL038W</a>
YOR347C,PYK2,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YOR347C' target='_blank'>YOR347C</a>
YDR050C,TPI1,glycolysis, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYCOLYSIS-VARIANTS"" target=""_blank"">glycolysis</a>",<a href='https://www.yeastgenome.org/locus/YDR050C' target='_blank'>YDR050C</a>
YLR304C,ACO1,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YLR304C' target='_blank'>YLR304C</a>
YLR304C,ACO1,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YLR304C' target='_blank'>YLR304C</a>
YJL200C,ACO2,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YJL200C' target='_blank'>YJL200C</a>
YNR001C,CIT1,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YNR001C' target='_blank'>YNR001C</a>
YCR005C,CIT2,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YCR005C' target='_blank'>YCR005C</a>
YPR001W,CIT3,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YPR001W' target='_blank'>YPR001W</a>
YER065C,ICL1,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YER065C' target='_blank'>YER065C</a>
YKL085W,MDH1,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YKL085W' target='_blank'>YKL085W</a>
YOL126C,MDH2,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YOL126C' target='_blank'>YOL126C</a>
YDL078C,MDH3,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YDL078C' target='_blank'>YDL078C</a>
YIR031C,DAL7,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YIR031C' target='_blank'>YIR031C</a>
YNL117W,MLS1,glyoxylate cycle,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12455685' target='_blank'>12455685</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15975908' target='_blank'>15975908</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=GLYOXYLATE-BYPASS"" target=""_blank"">glyoxylate cycle</a>",<a href='https://www.yeastgenome.org/locus/YNL117W' target='_blank'>YNL117W</a>
YDR044W,HEM13,heme biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2180703' target='_blank'>2180703</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2838478' target='_blank'>2838478</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8621563' target='_blank'>8621563</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8473299' target='_blank'>8473299</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=HEME-SYN"" target=""_blank"">heme biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YDR044W' target='_blank'>YDR044W</a>
YOR176W,HEM15,heme biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2180703' target='_blank'>2180703</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2838478' target='_blank'>2838478</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8621563' target='_blank'>8621563</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8473299' target='_blank'>8473299</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=HEME-SYN"" target=""_blank"">heme biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YOR176W' target='_blank'>YOR176W</a>
YER014W,HEM14,heme biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2180703' target='_blank'>2180703</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2838478' target='_blank'>2838478</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8621563' target='_blank'>8621563</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8473299' target='_blank'>8473299</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=HEME-SYN"" target=""_blank"">heme biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YER014W' target='_blank'>YER014W</a>
YDR047W,HEM12,heme biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2180703' target='_blank'>2180703</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2838478' target='_blank'>2838478</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8621563' target='_blank'>8621563</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8473299' target='_blank'>8473299</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=HEME-SYN"" target=""_blank"">heme biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YDR047W' target='_blank'>YDR047W</a>
YBR003W,COQ1,hexaprenyl diphosphate biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11583838' target='_blank'>11583838</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000072241' target='_blank'>S000072241</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2681213' target='_blank'>2681213</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000056919' target='_blank'>S000056919</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=HEXPPSYN-PWY-2&redirect=T"" target=""_blank"">hexaprenyl diphosphate biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YBR003W' target='_blank'>YBR003W</a>
YJL167W,ERG20,hexaprenyl diphosphate biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11583838' target='_blank'>11583838</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000072241' target='_blank'>S000072241</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2681213' target='_blank'>2681213</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000056919' target='_blank'>S000056919</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=HEXPPSYN-PWY-2&redirect=T"" target=""_blank"">hexaprenyl diphosphate biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJL167W' target='_blank'>YJL167W</a>
YPL069C,BTS1,hexaprenyl diphosphate biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11583838' target='_blank'>11583838</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000072241' target='_blank'>S000072241</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2681213' target='_blank'>2681213</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000056919' target='_blank'>S000056919</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=HEXPPSYN-PWY-2&redirect=T"" target=""_blank"">hexaprenyl diphosphate biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YPL069C' target='_blank'>YPL069C</a>
YJL167W,ERG20,hexaprenyl diphosphate biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11583838' target='_blank'>11583838</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000072241' target='_blank'>S000072241</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2681213' target='_blank'>2681213</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000056919' target='_blank'>S000056919</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=HEXPPSYN-PWY-2&redirect=T"" target=""_blank"">hexaprenyl diphosphate biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJL167W' target='_blank'>YJL167W</a>
YBR248C,HIS7,histidine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/9822821' target='_blank'>9822821</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000041612' target='_blank'>S000041612</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8852895' target='_blank'>8852895</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000057959' target='_blank'>S000057959</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15744050' target='_blank'>15744050</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=HISTIDINE-SYN"" target=""_blank"">histidine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YBR248C' target='_blank'>YBR248C</a>
YER055C,HIS1,histidine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/9822821' target='_blank'>9822821</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000041612' target='_blank'>S000041612</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8852895' target='_blank'>8852895</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000057959' target='_blank'>S000057959</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/15744050' target='_blank'>15744050</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=HISTIDINE-SYN"" target=""_blank"">histidine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YER055C' target='_blank'>YER055C</a>
