go_p,count,Systematic Name
misfolded protein transport,3,"['YBR201W', 'YLR378C', 'YNL007C']"
mismatch repair,21,"['YBR088C', 'YBR272C', 'YCR092C', 'YDL154W', 'YDR097C', 'YDR263C', 'YDR314C', 'YER162C', 'YHR120W', 'YJR006W', 'YJR068W', 'YLR035C', 'YMR167W', 'YNL072W', 'YNL082W', 'YNL290W', 'YOL090W', 'YOR033C', 'YOR217W', 'YPL164C', 'YPR052C']"
mitochondria-associated ubiquitin-dependent protein catabolic process,13,"['YAL005C', 'YBR082C', 'YBR170C', 'YDL126C', 'YDR049W', 'YER125W', 'YFR010W', 'YGR048W', 'YGR184C', 'YKL213C', 'YML013W', 'YNL007C', 'YPL084W']"
mitochondria-nucleus signaling pathway,7,"['YBL103C', 'YGL252C', 'YIL146C', 'YJR066W', 'YNL006W', 'YNL076W', 'YOL067C']"
mitochondrial ADP transmembrane transport,5,"['YBL030C', 'YBR085W', 'YMR056C', 'YOR222W', 'YPL134C']"
mitochondrial ATP synthesis coupled electron transport,1,['YPR140W']
mitochondrial ATP synthesis coupled proton transport,4,"['YDR298C', 'YJL116C', 'YJR121W', 'YPL271W']"
mitochondrial ATP transmembrane transport,5,"['YBL030C', 'YBR085W', 'YMR056C', 'YOR222W', 'YPL134C']"
mitochondrial DNA catabolic process,1,['YOR330C']
mitochondrial DNA metabolic process,2,"['YDR332W', 'YOL095C']"
mitochondrial DNA packaging,1,['YMR072W']
mitochondrial DNA repair,4,"['YDL059C', 'YER095W', 'YHR120W', 'YML032C']"
mitochondrial DNA replication,3,"['YCR028C-A', 'YOR330C', 'YPL029W']"
mitochondrial L-ornithine transmembrane transport,3,"['YBR104W', 'YOR130C', 'YPR058W']"
mitochondrial RNA 3'-end processing,1,['YPL029W']
mitochondrial RNA 5'-end processing,1,['YOR017W']
mitochondrial RNA catabolic process,2,"['YMR287C', 'YPL029W']"
mitochondrial RNA metabolic process,1,['YOR017W']
mitochondrial RNA processing,3,"['YDR194C', 'YGR150C', 'YIR021W']"
mitochondrial alanyl-tRNA aminoacylation,1,['YOR335C']
mitochondrial arginyl-tRNA aminoacylation,1,['YHR091C']
mitochondrial asparaginyl-tRNA aminoacylation,1,['YCR024C']
mitochondrial aspartyl-tRNA aminoacylation,1,['YPL104W']
mitochondrial citrate transport,3,"['YBR291C', 'YFR045W', 'YMR241W']"
mitochondrial double-strand break repair via homologous recombination,4,"['YDR369C', 'YMR224C', 'YMR284W', 'YNL250W']"
"mitochondrial electron transport, NADH to ubiquinone",1,['YML120C']
"mitochondrial electron transport, cytochrome c to oxygen",17,"['Q0045', 'Q0060', 'Q0065', 'Q0070', 'Q0250', 'Q0275', 'YDL067C', 'YEL039C', 'YGL187C', 'YGL191W', 'YGL226W', 'YHR051W', 'YIL111W', 'YJR048W', 'YLR395C', 'YMR256C', 'YNL052W']"
"mitochondrial electron transport, succinate to ubiquinone",7,"['YDR178W', 'YJL045W', 'YKL141W', 'YKL148C', 'YLR164W', 'YMR118C', 'YOL071W']"
"mitochondrial electron transport, ubiquinol to cytochrome c",12,"['Q0105', 'YDR529C', 'YEL024W', 'YEL039C', 'YFR033C', 'YGR183C', 'YHR001W-A', 'YJL166W', 'YJR048W', 'YNL169C', 'YOR065W', 'YPR191W']"
mitochondrial fission,8,"['YDR150W', 'YFR004W', 'YIL065C', 'YJL112W', 'YKR036C', 'YLL001W', 'YPL218W', 'YPR083W']"
mitochondrial fusion,4,"['YBR179C', 'YDR470C', 'YLR368W', 'YOR211C']"
mitochondrial gene expression,1,['YMR098C']
mitochondrial genome maintenance,42,"['YAL010C', 'YBR163W', 'YBR192W', 'YCR028C-A', 'YDL142C', 'YDL198C', 'YDR065W', 'YDR077W', 'YDR258C', 'YDR296W', 'YFL016C', 'YFL036W', 'YGL219C', 'YGR144W', 'YGR150C', 'YHR031C', 'YHR120W', 'YIR021W', 'YJL102W', 'YJL112W', 'YJL143W', 'YJR118C', 'YJR144W', 'YKL011C', 'YLL006W', 'YLR059C', 'YLR091W', 'YLR259C', 'YLR304C', 'YLR355C', 'YML061C', 'YMR072W', 'YMR211W', 'YMR241W', 'YMR302C', 'YNL213C', 'YOL009C', 'YOL095C', 'YOR211C', 'YOR330C', 'YPR100W', 'YPR116W']"
mitochondrial glutamyl-tRNA aminoacylation,1,['YOL033W']
mitochondrial glycyl-tRNA aminoacylation,2,"['YBR121C', 'YPR081C']"
mitochondrial iron ion transport,2,"['YJL133W', 'YKR052C']"
mitochondrial isoleucyl-tRNA aminoacylation,1,['YPL040C']
mitochondrial large ribosomal subunit assembly,1,['YGL064C']
mitochondrial lysyl-tRNA aminoacylation,1,['YNL073W']
mitochondrial mRNA catabolic process,1,['YJL209W']
mitochondrial mRNA processing,9,"['Q0050', 'Q0055', 'Q0115', 'Q0120', 'YGL107C', 'YGR222W', 'YHL038C', 'YOR350C', 'YPR134W']"
mitochondrial magnesium ion transport,2,"['YOR334W', 'YPL060W']"
mitochondrial membrane organization,3,"['YDL142C', 'YOR037W', 'YPL218W']"
mitochondrial nucleoid organization,1,['YNL295W']
mitochondrial outer membrane translocase complex assembly,9,"['YAL010C', 'YHR083W', 'YLL006W', 'YLR099W-A', 'YMR060C', 'YOL009C', 'YOL026C', 'YOR045W', 'YPR133W-A']"
mitochondrial phenylalanyl-tRNA aminoacylation,1,['YPR047W']
mitochondrial phosphate ion transmembrane transport,2,"['YER053C', 'YJR077C']"
mitochondrial protein catabolic process,1,['YKR087C']
mitochondrial protein processing,6,"['YDR430C', 'YER017C', 'YLR389C', 'YML013W', 'YMR089C', 'YNR020C']"
mitochondrial proton-transporting ATP synthase complex assembly,11,"['YER154W', 'YIL098C', 'YIR024C', 'YJL180C', 'YLR295C', 'YLR393W', 'YML081C-A', 'YMR098C', 'YNL315C', 'YNR020C', 'YPL099C']"
mitochondrial pyrimidine nucleotide import,1,['YBR192W']
mitochondrial pyruvate transport,4,"['YGL080W', 'YGR243W', 'YHR162W', 'YIL006W']"
mitochondrial respiratory chain complex II assembly,5,"['YBR044C', 'YBR269C', 'YDR379C-A', 'YDR511W', 'YOL071W']"
mitochondrial respiratory chain complex III assembly,10,"['YBR120C', 'YDL069C', 'YDR375C', 'YDR381C-A', 'YDR493W', 'YDR529C', 'YGR174C', 'YGR183C', 'YLR077W', 'YPL215W']"
mitochondrial respiratory chain complex IV assembly,30,"['YBR024W', 'YBR037C', 'YDR079W', 'YDR231C', 'YDR322W', 'YDR381C-A', 'YER058W', 'YER153C', 'YER154W', 'YFL046W', 'YGR062C', 'YGR112W', 'YIL157C', 'YJL003W', 'YJL062W-A', 'YJR034W', 'YKL137W', 'YLL009C', 'YLL018C-A', 'YLR038C', 'YLR067C', 'YLR203C', 'YLR218C', 'YML030W', 'YML129C', 'YMR244C-A', 'YMR257C', 'YNL005C', 'YNR018W', 'YPL189C-A']"
mitochondrial respiratory chain complex assembly,6,"['YBL059C-A', 'YEL059C-A', 'YHR116W', 'YKL053C-A', 'YLR218C', 'YMR035W']"
mitochondrial respiratory chain supercomplex assembly,4,"['YDR381C-A', 'YGL191W', 'YML030W', 'YPR140W']"
mitochondrial ribosome assembly,2,"['YIL070C', 'YMR066W']"
mitochondrial seryl-tRNA aminoacylation,1,['YHR011W']
mitochondrial tRNA 3'-end processing,1,['YKR079C']
"mitochondrial tRNA 3'-trailer cleavage, endonucleolytic",1,['YKR079C']
mitochondrial tRNA 5'-end processing,5,"['YDR065W', 'YJL023C', 'YLR091W', 'YML091C', 'YPR116W']"
mitochondrial tRNA methylation,1,['YHR070W']
mitochondrial tRNA thio-modification,1,['YCL017C']
mitochondrial tRNA threonylcarbamoyladenosine modification,1,['YDL104C']
mitochondrial tRNA wobble position uridine thiolation,1,['YDL033C']
mitochondrial tRNA wobble uridine modification,2,"['YGL236C', 'YMR023C']"
mitochondrial thiamine pyrophosphate transmembrane transport,1,['YGR096W']
mitochondrial threonyl-tRNA aminoacylation,1,['YKL194C']
mitochondrial translation,103,"['Q0140', 'YBL038W', 'YBL080C', 'YBL090W', 'YBR122C', 'YBR146W', 'YBR251W', 'YBR268W', 'YBR282W', 'YCR003W', 'YCR046C', 'YCR071C', 'YDL044C', 'YDL045W-A', 'YDL202W', 'YDR036C', 'YDR041W', 'YDR115W', 'YDR116C', 'YDR175C', 'YDR237W', 'YDR296W', 'YDR337W', 'YDR341C', 'YDR347W', 'YDR405W', 'YDR462W', 'YDR494W', 'YEL050C', 'YER050C', 'YGL068W', 'YGL129C', 'YGL143C', 'YGR076C', 'YGR084C', 'YGR102C', 'YGR165W', 'YGR215W', 'YGR220C', 'YHL004W', 'YHR038W', 'YHR059W', 'YHR075C', 'YHR091C', 'YHR147C', 'YHR189W', 'YIL051C', 'YIL093C', 'YJL063C', 'YJL096W', 'YJL102W', 'YJR101W', 'YJR113C', 'YKL003C', 'YKL138C', 'YKL155C', 'YKL167C', 'YKL170W', 'YKR006C', 'YKR085C', 'YLR069C', 'YLR139C', 'YLR204W', 'YLR312W-A', 'YLR382C', 'YLR439W', 'YML009C', 'YML025C', 'YMR024W', 'YMR066W', 'YMR097C', 'YMR158W', 'YMR188C', 'YMR193W', 'YMR225C', 'YMR286W', 'YMR293C', 'YNL073W', 'YNL081C', 'YNL122C', 'YNL137C', 'YNL177C', 'YNL185C', 'YNL252C', 'YNL284C', 'YNL306W', 'YNR022C', 'YNR036C', 'YNR037C', 'YOL023W', 'YOL033W', 'YOL114C', 'YOR150W', 'YOR158W', 'YOR187W', 'YPL013C', 'YPL040C', 'YPL118W', 'YPL173W', 'YPL183W-A', 'YPR033C', 'YPR100W', 'YPR166C']"
mitochondrial translational elongation,3,"['YLR069C', 'YMR024W', 'YOR187W']"
mitochondrial translational initiation,7,"['YBL090W', 'YDR494W', 'YJL131C', 'YMR282C', 'YOL023W', 'YPL005W', 'YPL118W']"
mitochondrial translational termination,2,"['YGL143C', 'YOL114C']"
mitochondrial transmembrane transport,1,['YOR271C']
mitochondrial transport,9,"['YBL030C', 'YBR104W', 'YFR045W', 'YJR085C', 'YMR056C', 'YNL083W', 'YOR222W', 'YPL134C', 'YPR058W']"
mitochondrial tryptophanyl-tRNA aminoacylation,1,['YDR268W']
mitochondrial tyrosyl-tRNA aminoacylation,1,['YPL097W']
mitochondrial unfolded protein response,2,"['YBR044C', 'YLR259C']"
mitochondrion distribution,1,['YMR211W']
mitochondrion inheritance,24,"['YAL048C', 'YDL006W', 'YDL029W', 'YDL239C', 'YDR150W', 'YGL055W', 'YGR132C', 'YGR231C', 'YHR194W', 'YIL062C', 'YIL138C', 'YLL001W', 'YLR190W', 'YML104C', 'YMR072W', 'YMR275C', 'YNL079C', 'YNL304W', 'YOL009C', 'YOL076W', 'YOR147W', 'YOR326W', 'YPR083W', 'YPR131C']"
mitochondrion localization,4,"['YDR150W', 'YLL013C', 'YNL304W', 'YPR083W']"
mitochondrion migration along actin filament,1,['YIR003W']
mitochondrion morphogenesis,2,"['YDR185C', 'YGR132C']"
mitochondrion organization,43,"['YAL008W', 'YAL010C', 'YAL048C', 'YBL022C', 'YBR212W', 'YCR065W', 'YDR219C', 'YDR393W', 'YDR512C', 'YER125W', 'YGL219C', 'YGR132C', 'YGR231C', 'YHL021C', 'YHR120W', 'YHR194W', 'YJR120W', 'YKL053C-A', 'YKL166C', 'YLL001W', 'YLL006W', 'YLL013C', 'YLL040C', 'YLR253W', 'YLR368W', 'YML058W', 'YML091C', 'YMR002W', 'YMR012W', 'YMR060C', 'YMR134W', 'YNL055C', 'YNL066W', 'YNL213C', 'YNL310C', 'YNL315C', 'YOL009C', 'YOL060C', 'YOR147W', 'YOR211C', 'YOR228C', 'YPR024W', 'YPR083W']"
mitochondrion-ER tethering,5,"['YAL010C', 'YAL048C', 'YGL219C', 'YLL006W', 'YOL009C']"
mitophagy,38,"['YAL008W', 'YBL078C', 'YBL103C', 'YBR217W', 'YCR079W', 'YDL113C', 'YDL149W', 'YDR022C', 'YFR021W', 'YFR028C', 'YGL180W', 'YGR049W', 'YGR223C', 'YHR171W', 'YIL065C', 'YIL146C', 'YIL165C', 'YJL036W', 'YKL037W', 'YKR042W', 'YLL007C', 'YLL042C', 'YLR305C', 'YLR356W', 'YLR422W', 'YLR423C', 'YMR159C', 'YNL223W', 'YNL242W', 'YNR007C', 'YOR019W', 'YOR043W', 'YPL100W', 'YPL149W', 'YPL166W', 'YPL250C', 'YPR049C', 'YPR185W']"
mitotic DNA damage checkpoint,2,"['YDL101C', 'YGL158W']"
mitotic DNA integrity checkpoint,5,"['YGL086W', 'YJL013C', 'YJL030W', 'YOR026W', 'YPL209C']"
mitotic DNA replication,1,['YGL201C']
mitotic DNA replication checkpoint,9,"['YDL017W', 'YDR052C', 'YER173W', 'YJL090C', 'YJL194W', 'YKL108W', 'YLR288C', 'YML065W', 'YNL262W']"
mitotic DNA replication initiation,5,"['YBL023C', 'YEL032W', 'YNL102W', 'YOL146W', 'YPR019W']"
mitotic DNA replication preinitiation complex assembly,3,"['YDL017W', 'YKL108W', 'YLR103C']"
mitotic G1 DNA damage checkpoint,5,"['YDL074C', 'YDR217C', 'YDR440W', 'YGL058W', 'YPL194W']"
mitotic G2 DNA damage checkpoint,4,"['YBR274W', 'YJL090C', 'YMR224C', 'YPL194W']"
mitotic G2/M transition checkpoint,3,"['YGL190C', 'YMR190C', 'YOR033C']"
mitotic actomyosin contractile ring assembly,11,"['YDL225W', 'YDR388W', 'YHR023W', 'YHR107C', 'YIL138C', 'YIL159W', 'YMR032W', 'YNL079C', 'YNL271C', 'YOR122C', 'YPL242C']"
mitotic actomyosin contractile ring assembly actin filament organization,1,['YPL242C']
mitotic actomyosin contractile ring contraction,2,"['YFL039C', 'YHR023W']"
mitotic actomyosin contractile ring disassembly,1,['YPR188C']
mitotic actomyosin contractile ring maintenance,2,"['YBR038W', 'YMR032W']"
mitotic cell cycle,28,"['YAL034W-A', 'YBL009W', 'YBR088C', 'YBR267W', 'YDL164C', 'YDR106W', 'YDR159W', 'YDR328C', 'YDR457W', 'YFL037W', 'YFR028C', 'YGL021W', 'YGL061C', 'YGR053C', 'YHR172W', 'YKR054C', 'YKR083C', 'YLR212C', 'YLR272C', 'YML085C', 'YML124C', 'YMR001C', 'YNL126W', 'YNL262W', 'YOR217W', 'YOR315W', 'YPR135W', 'YPR141C']"
mitotic cell cycle G1 arrest in response to pheromone,3,"['YJL157C', 'YJR090C', 'YPR075C']"
mitotic cell cycle phase transition,9,"['YAL040C', 'YDL155W', 'YGR108W', 'YGR109C', 'YLR210W', 'YMR199W', 'YPL256C', 'YPR119W', 'YPR120C']"
mitotic chromosome condensation,11,"['YBL097W', 'YDL003W', 'YDR180W', 'YDR325W', 'YER147C', 'YFR027W', 'YFR031C', 'YLR086W', 'YLR272C', 'YMR076C', 'YOL006C']"
mitotic cohesin loading,1,['YDR180W']
mitotic cytokinesis,12,"['YAR019C', 'YCR002C', 'YHR107C', 'YIL106W', 'YIL138C', 'YJR076C', 'YKL048C', 'YLR314C', 'YMR032W', 'YNL079C', 'YNL152W', 'YPR111W']"
mitotic nuclear division,1,['YNL078W']
mitotic recombination,20,"['YAR007C', 'YCR092C', 'YDL059C', 'YDR004W', 'YDR540C', 'YER095W', 'YER179W', 'YFR038W', 'YJL051W', 'YJL142C', 'YJL173C', 'YLL033W', 'YML032C', 'YML095C', 'YNL312W', 'YOL090W', 'YOR141C', 'YPL017C', 'YPL022W', 'YPR038W']"
mitotic recombination-dependent replication fork processing,1,['YER095W']
mitotic sister chromatid biorientation,3,"['YBR160W', 'YGL093W', 'YGR113W']"
mitotic sister chromatid cohesion,29,"['YBR088C', 'YCL016C', 'YCL061C', 'YDL003W', 'YDR014W', 'YDR363W', 'YDR419W', 'YER016W', 'YER147C', 'YFL008W', 'YHR191C', 'YIL026C', 'YJL019W', 'YJL074C', 'YJR072C', 'YLR234W', 'YLR243W', 'YMR048W', 'YMR076C', 'YMR078C', 'YNL262W', 'YNL273W', 'YOR144C', 'YPL008W', 'YPL024W', 'YPL253C', 'YPR007C', 'YPR135W', 'YPR141C']"
mitotic sister chromatid segregation,27,"['YAL034W-A', 'YBL063W', 'YBL097W', 'YDR113C', 'YDR130C', 'YDR325W', 'YEL061C', 'YFL008W', 'YFL037W', 'YFR027W', 'YFR031C', 'YGL216W', 'YGR098C', 'YIR010W', 'YIR025W', 'YKL049C', 'YKR054C', 'YLR086W', 'YLR212C', 'YLR272C', 'YML034W', 'YML085C', 'YML124C', 'YMR190C', 'YNL307C', 'YOR073W', 'YPL233W']"
mitotic spindle assembly,6,"['YBL034C', 'YBL063W', 'YBR160W', 'YEL061C', 'YFL037W', 'YGL216W']"
mitotic spindle assembly checkpoint,24,"['YAL016W', 'YBR158W', 'YDL028C', 'YDR254W', 'YER133W', 'YFR003C', 'YGL086W', 'YGL093W', 'YGL116W', 'YGR188C', 'YHR115C', 'YIL031W', 'YJL013C', 'YJL030W', 'YJR089W', 'YLR381W', 'YMR168C', 'YNL116W', 'YNL164C', 'YNL258C', 'YOR026W', 'YOR073W', 'YOR178C', 'YPL018W']"
mitotic spindle disassembly,4,"['YBR170C', 'YDL126C', 'YGL216W', 'YPL209C']"
mitotic spindle elongation,12,"['YBL031W', 'YBL063W', 'YCL029C', 'YDL064W', 'YDR356W', 'YEL061C', 'YFL037W', 'YGR140W', 'YHR127W', 'YJR089W', 'YKR088C', 'YOR058C']"
mitotic spindle midzone assembly,1,['YOR058C']
mitotic spindle organization,17,"['YDR016C', 'YDR130C', 'YGL060W', 'YGL216W', 'YGR108W', 'YIL153W', 'YKL089W', 'YLR045C', 'YLR212C', 'YMR294W', 'YNL126W', 'YNL225C', 'YOL069W', 'YOR058C', 'YOR195W', 'YPL152W', 'YPL209C']"
mitotic spindle orientation checkpoint,14,"['YAL047C', 'YBR158W', 'YER016W', 'YER177W', 'YHR115C', 'YHR129C', 'YJR053W', 'YKL092C', 'YML064C', 'YMR055C', 'YNL116W', 'YOR014W', 'YOR233W', 'YPL269W']"
modification-dependent protein catabolic process,5,"['YDR139C', 'YIL148W', 'YKR094C', 'YLL039C', 'YLR167W']"
monocarboxylic acid transport,3,"['YLL048C', 'YMR034C', 'YNL065W']"
morphogenesis checkpoint,7,"['YBL009W', 'YCL024W', 'YDR507C', 'YER155C', 'YGL021W', 'YJL187C', 'YKL101W']"
movement of group I intron,1,['Q0070']
multivesicular body assembly,2,"['YKR014C', 'YOR089C']"
multivesicular body membrane disassembly,1,['YCR068W']
multivesicular body sorting pathway,3,"['YJR102C', 'YJR125C', 'YPL002C']"
multivesicular body-lysosome fusion,1,['YDR456W']
mycotoxin catabolic process,1,['YLL063C']
myo-inositol transport,4,"['YDR387C', 'YDR497C', 'YFL040W', 'YOL103W']"
ncRNA 3'-end processing,7,"['YCR035C', 'YDL111C', 'YGR095C', 'YLR107W', 'YNL232W', 'YOL021C', 'YOL142W']"
ncRNA export from nucleus,2,"['YIL115C', 'YJL041W']"
ncRNA polyadenylation,5,"['YDL175C', 'YIL079C', 'YJL050W', 'YNL299W', 'YOL115W']"
ncRNA processing,1,['YNL132W']
ncRNA transcription,5,"['YDR191W', 'YHR031C', 'YJR060W', 'YML061C', 'YOR025W']"
"negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process",1,['YBR129C']
negative regulation of ATP-dependent RNA helicase activity,1,['YDR381W']
negative regulation of ATPase activity,3,"['YCR021C', 'YDL130W-A', 'YDL181W']"
negative regulation of Arp2/3 complex-mediated actin nucleation,7,"['YBL007C', 'YDR063W', 'YGR136W', 'YJL020C', 'YLR429W', 'YNL243W', 'YPR154W']"
negative regulation of DNA amplification,2,"['YDL042C', 'YGL037C']"
negative regulation of DNA binding,2,"['YKL117W', 'YPR052C']"
negative regulation of DNA damage checkpoint,3,"['YBL046W', 'YDR075W', 'YNL201C']"
negative regulation of DNA helicase activity,1,['YBL023C']
negative regulation of DNA recombinase mediator complex assembly,1,['YDR014W-A']
negative regulation of DNA recombination,8,"['YBR279W', 'YDL042C', 'YDR097C', 'YJL092W', 'YLR418C', 'YOL090W', 'YOL115W', 'YPL127C']"
negative regulation of DNA replication,6,"['YDL042C', 'YDR110W', 'YDR217C', 'YML058W', 'YMR048W', 'YNL273W']"
negative regulation of DNA replication origin binding,2,"['YBR160W', 'YJL106W']"
negative regulation of DNA strand resection involved in replication fork processing,1,['YDR217C']
negative regulation of DNA-dependent DNA replication,1,['YER164W']
negative regulation of DNA-dependent DNA replication initiation,2,"['YBR275C', 'YKL022C']"
"negative regulation of DNA-templated transcription, termination",1,['YBR034C']
negative regulation of G1/S transition of mitotic cell cycle,1,['YGR250C']
negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter,1,['YKL185W']
negative regulation of GTPase activity,1,['YMR258C']
negative regulation of MAP kinase activity,1,['YDL073W']
negative regulation of MAPK cascade,6,"['YBL016W', 'YDL006W', 'YDR103W', 'YDR162C', 'YIL113W', 'YNL053W']"
negative regulation of MAPK cascade involved in cell wall organization or biogenesis,3,"['YER075C', 'YNL053W', 'YOR208W']"
negative regulation of NMS complex assembly,1,['YFR046C']
negative regulation of Ras protein signal transduction,6,"['YAL056W', 'YBR140C', 'YIL033C', 'YOL078W', 'YOL081W', 'YOR371C']"
negative regulation of Rho guanyl-nucleotide exchange factor activity,1,['YOL070C']
negative regulation of Rho protein signal transduction,5,"['YDL240W', 'YDR389W', 'YER155C', 'YOR134W', 'YPL115C']"
negative regulation of SNARE complex assembly,1,['YIL068C']
negative regulation of TOR signaling,3,"['YEL062W', 'YHL023C', 'YJR138W']"
negative regulation of TORC1 signaling,12,"['YBL088C', 'YDR283C', 'YEL062W', 'YGL073W', 'YGL195W', 'YGR178C', 'YHL023C', 'YJR138W', 'YLL010C', 'YLR019W', 'YOR043W', 'YPR040W']"
negative regulation of UDP-N-acetylglucosamine biosynthetic process,1,['YPR106W']
negative regulation of actin cortical patch assembly,1,['YIL095W']
negative regulation of actin filament bundle assembly,1,['YAL003W']
negative regulation of actin filament polymerization,4,"['YAR014C', 'YER071C', 'YGR080W', 'YIR003W']"
negative regulation of actin nucleation,1,['YMR032W']
negative regulation of anaphase-promoting complex-dependent catabolic process,1,['YIR025W']
negative regulation of antisense RNA transcription,4,"['YJL168C', 'YMR075W', 'YOR304W', 'YPR023C']"
negative regulation of apoptotic process,5,"['YDR099W', 'YER177W', 'YIL097W', 'YLR150W', 'YMR095C']"
negative regulation of apoptotic signaling pathway,1,['YGL253W']
negative regulation of ascospore formation,2,"['YGL197W', 'YMR039C']"
negative regulation of autophagy,11,"['YDR072C', 'YER169W', 'YGR063C', 'YGR143W', 'YGR163W', 'YJL127C', 'YJR066W', 'YKL056C', 'YKL203C', 'YML121W', 'YNL097C']"
negative regulation of cAMP-dependent protein kinase activity,3,"['YAL056W', 'YIL033C', 'YOR371C']"
negative regulation of calcium-mediated signaling,2,"['YOL001W', 'YPL031C']"
negative regulation of catalytic activity,10,"['YCR030C', 'YDR014W-A', 'YER165W', 'YFR017C', 'YLR437C', 'YML058W', 'YML058W-A', 'YNL307C', 'YOR173W', 'YPL052W']"
negative regulation of cell aging,3,"['YAL005C', 'YLL024C', 'YML028W']"
negative regulation of cell separation after cytokinesis,1,['YBR158W']
negative regulation of cellular hyperosmotic salinity response by negative regulation of transcription from RNA polymerase II promoter,2,"['YBR066C', 'YDR043C']"
negative regulation of cellular respiration,1,['YJR104C']
negative regulation of cellular response to alkaline pH by negative regulation of transcription from RNA polymerase II promoter,1,['YDR043C']
negative regulation of cellular response to amino acid starvation,1,['YOR260W']
negative regulation of ceramide biosynthetic process,2,"['YGR038W', 'YLR350W']"
negative regulation of chromatin silencing,5,"['YDR216W', 'YGR270W', 'YNL216W', 'YPL127C', 'YPL128C']"
negative regulation of chromatin silencing at rDNA,8,"['YAL013W', 'YBR095C', 'YIL084C', 'YMR263W', 'YNL097C', 'YNL330C', 'YOL004W', 'YPL181W']"
negative regulation of chromatin silencing at silent mating-type cassette,11,"['YAL013W', 'YBR095C', 'YIL084C', 'YMR263W', 'YNL068C', 'YNL097C', 'YNL330C', 'YOL004W', 'YOR229W', 'YOR230W', 'YPL181W']"
negative regulation of chromatin silencing at telomere,15,"['YAL013W', 'YBR095C', 'YBR103W', 'YIL084C', 'YIR018W', 'YLR274W', 'YMR263W', 'YNL097C', 'YNL330C', 'YOL004W', 'YOR229W', 'YOR230W', 'YPL015C', 'YPL139C', 'YPL181W']"
negative regulation of chromosome condensation,1,['YDR014W']
negative regulation of clathrin-dependent endocytosis,2,"['YBR059C', 'YIL095W']"
negative regulation of conjugation with cellular fusion,2,"['YDL214C', 'YKL116C']"
negative regulation of cyclin-dependent protein serine/threonine kinase activity,5,"['YGR233C', 'YHR136C', 'YJL157C', 'YLR079W', 'YPL014W']"
negative regulation of cytokinesis,1,['YMR092C']
negative regulation of cytoplasmic mRNA processing body assembly,4,"['YCR093W', 'YJL164C', 'YKL166C', 'YPL203W']"
negative regulation of cytoplasmic translation,4,"['YDR328C', 'YKL166C', 'YOL045W', 'YPL203W']"
negative regulation of cytosolic calcium ion concentration,1,['YMR034C']
negative regulation of double-strand break repair via homologous recombination,1,['YJL092W']
negative regulation of double-strand break repair via nonhomologous end joining,2,"['YBR160W', 'YOR191W']"
negative regulation of endocytosis,1,['YNL183C']
negative regulation of endodeoxyribonuclease activity,1,['YNL250W']
negative regulation of endopeptidase activity,5,"['YHR138C', 'YLR073C', 'YLR178C', 'YMR174C', 'YNL015W']"
negative regulation of endoplasmic reticulum unfolded protein response,2,"['YER089C', 'YLR361C']"
negative regulation of ergosterol biosynthetic process,1,['YMR070W']
negative regulation of exit from mitosis,10,"['YBR158W', 'YDL017W', 'YDR052C', 'YDR113C', 'YGL190C', 'YGR238C', 'YHR158C', 'YJL076W', 'YJR053W', 'YLR113W']"
negative regulation of fatty acid biosynthetic process,1,['YLR380W']
negative regulation of fatty acid metabolic process,1,['YCL026C-A']
negative regulation of filamentous growth,1,['YPL042C']
negative regulation of formin-nucleated actin cable assembly,2,"['YGL015C', 'YMR032W']"
negative regulation of gene expression,7,"['YDR266C', 'YDR464W', 'YHL007C', 'YLR244C', 'YMR116C', 'YNL298W', 'YOL113W']"
negative regulation of gene silencing,2,"['YMR219W', 'YOR156C']"
negative regulation of gluconeogenesis,11,"['YBR058C', 'YBR105C', 'YCL039W', 'YDR255C', 'YDR313C', 'YEL012W', 'YGL227W', 'YGR066C', 'YIL017C', 'YIL097W', 'YMR135C']"
negative regulation of glucose mediated signaling pathway,4,"['YDR075W', 'YGL248W', 'YMR116C', 'YNL201C']"
negative regulation of glycogen biosynthetic process,5,"['YAL017W', 'YGL134W', 'YOL045W', 'YPL031C', 'YPL219W']"
negative regulation of glycogen catabolic process,1,['YFR017C']
negative regulation of helicase activity,1,['YDR386W']
negative regulation of heterochromatin assembly,3,"['YDL070W', 'YDR440W', 'YLR399C']"
negative regulation of histone H3-K14 acetylation,2,"['YER164W', 'YJL168C']"
negative regulation of histone H3-K36 methylation,1,['YLR449W']
negative regulation of histone H3-K9 acetylation,2,"['YER164W', 'YJL168C']"
negative regulation of histone deacetylation,1,['YJR017C']
negative regulation of histone exchange,2,"['YBR245C', 'YER164W']"
negative regulation of hydrogen peroxide-mediated programmed cell death,1,['YKR071C']
negative regulation of invasive growth in response to glucose limitation,3,"['YDR480W', 'YJL089W', 'YPL049C']"
negative regulation of kinase activity,1,['YML051W']
negative regulation of mRNA polyadenylation,2,"['YDR195W', 'YGL122C']"
"negative regulation of mRNA splicing, via spliceosome",1,['YGL030W']
negative regulation of macroautophagy,9,"['YGL173C', 'YHR071W', 'YHR082C', 'YJR066W', 'YKL203C', 'YLR079W', 'YLR173W', 'YOL001W', 'YPL031C']"
